pid, process_name, gpu_uuid, used_gpu_memory [MiB]
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
1508004, ./fargo3d, GPU-c426578f-6063-0c88-ae91-ebe2d792754d, 1002 MiB
1508005, ./fargo3d, GPU-a4973737-184d-75ea-745d-e43345f5670e, 1002 MiB
